[2022-Jul-19 12:37:53] 192.168.43.36 OPTIONS /? 200 OK
[2022-Jul-19 12:38:52] 192.168.43.36 GET /? 200 OK
[2022-Jul-19 12:38:52] 192.168.43.36 GET /? 200 OK
[2022-Jul-19 13:00:19] 192.168.43.36 OPTIONS /? 200 OK
[2022-Jul-19 13:02:11] 192.168.43.36 OPTIONS /? 200 OK
[2022-Jul-19 13:03:51] 192.168.43.36 OPTIONS /? 200 OK
[2022-Jul-19 13:06:07] 192.168.43.36 OPTIONS /? 200 OK
[2022-Jul-19 13:06:22] 192.168.43.36 OPTIONS /? 200 OK
[2022-Jul-19 21:02:26] 127.0.0.1 GET /admin/? 404 NOT FOUND
[2022-Jul-19 21:02:35] 127.0.0.1 GET /admin_panel? 200 OK
[2022-Jul-19 21:02:35] 127.0.0.1 GET /admin_panel? 200 OK
[2022-Jul-19 21:02:42] 127.0.0.1 GET /admin_panel/login? 200 OK
[2022-Jul-19 21:02:42] 127.0.0.1 GET /admin_panel/login? 200 OK
[2022-Jul-19 21:02:42] 127.0.0.1 GET /admin_panel/login? 200 OK
[2022-Jul-19 21:02:49] 127.0.0.1 POST /admin_panel/login? 302 FOUND
[2022-Jul-19 21:02:49] 127.0.0.1 POST /admin_panel/login? 302 FOUND
[2022-Jul-19 21:02:49] 127.0.0.1 POST /admin_panel/login? 302 FOUND
[2022-Jul-19 21:02:49] 127.0.0.1 POST /admin_panel/login? 302 FOUND
[2022-Jul-19 21:02:49] 127.0.0.1 GET /admin_panel? 200 OK
[2022-Jul-19 21:02:49] 127.0.0.1 GET /admin_panel? 200 OK
[2022-Jul-19 21:02:49] 127.0.0.1 GET /admin_panel? 200 OK
[2022-Jul-19 21:02:49] 127.0.0.1 GET /admin_panel? 200 OK
[2022-Jul-19 21:02:49] 127.0.0.1 GET /admin_panel? 200 OK
[2022-Jul-19 21:02:56] 127.0.0.1 GET /admin_panel/logout? 302 FOUND
[2022-Jul-19 21:02:56] 127.0.0.1 GET /admin_panel/logout? 302 FOUND
[2022-Jul-19 21:02:56] 127.0.0.1 GET /admin_panel/logout? 302 FOUND
[2022-Jul-19 21:02:56] 127.0.0.1 GET /admin_panel/logout? 302 FOUND
[2022-Jul-19 21:02:56] 127.0.0.1 GET /admin_panel/logout? 302 FOUND
[2022-Jul-19 21:02:56] 127.0.0.1 GET /admin_panel/logout? 302 FOUND
[2022-Jul-19 21:02:56] 127.0.0.1 GET /admin_panel/login? 200 OK
[2022-Jul-19 21:02:56] 127.0.0.1 GET /admin_panel/login? 200 OK
[2022-Jul-19 21:02:56] 127.0.0.1 GET /admin_panel/login? 200 OK
[2022-Jul-19 21:02:56] 127.0.0.1 GET /admin_panel/login? 200 OK
[2022-Jul-19 21:02:56] 127.0.0.1 GET /admin_panel/login? 200 OK
[2022-Jul-19 21:02:56] 127.0.0.1 GET /admin_panel/login? 200 OK
[2022-Jul-19 21:02:56] 127.0.0.1 GET /admin_panel/login? 200 OK
[2022-Jul-19 21:04:42] 127.0.0.1 POST /admin_panel/login? 302 FOUND
[2022-Jul-19 21:04:42] 127.0.0.1 GET /admin_panel? 200 OK
[2022-Jul-19 21:04:42] 127.0.0.1 GET /admin_panel? 200 OK
[2022-Jul-19 21:04:48] 127.0.0.1 GET /admin_panel/logout? 302 FOUND
[2022-Jul-19 21:04:48] 127.0.0.1 GET /admin_panel/logout? 302 FOUND
[2022-Jul-19 21:04:48] 127.0.0.1 GET /admin_panel/logout? 302 FOUND
[2022-Jul-19 21:04:48] 127.0.0.1 GET /admin_panel/login? 200 OK
[2022-Jul-19 21:04:48] 127.0.0.1 GET /admin_panel/login? 200 OK
[2022-Jul-19 21:04:48] 127.0.0.1 GET /admin_panel/login? 200 OK
[2022-Jul-19 21:04:48] 127.0.0.1 GET /admin_panel/login? 200 OK
[2022-Jul-19 21:04:54] 127.0.0.1 GET /admin_panel/admins/? 302 FOUND
[2022-Jul-19 21:04:54] 127.0.0.1 GET /admin_panel/admins/? 302 FOUND
[2022-Jul-19 21:04:54] 127.0.0.1 GET /admin_panel/admins/? 302 FOUND
[2022-Jul-19 21:04:54] 127.0.0.1 GET /admin_panel/admins/? 302 FOUND
[2022-Jul-19 21:04:54] 127.0.0.1 GET /admin_panel/admins/? 302 FOUND
[2022-Jul-19 21:04:54] 127.0.0.1 GET /admin_panel? 200 OK
[2022-Jul-19 21:04:54] 127.0.0.1 GET /admin_panel? 200 OK
[2022-Jul-19 21:04:54] 127.0.0.1 GET /admin_panel? 200 OK
[2022-Jul-19 21:04:54] 127.0.0.1 GET /admin_panel? 200 OK
[2022-Jul-19 21:04:54] 127.0.0.1 GET /admin_panel? 200 OK
[2022-Jul-19 21:04:54] 127.0.0.1 GET /admin_panel? 200 OK
[2022-Jul-19 21:06:54] 127.0.0.1 GET /admin_panel? 200 OK
